algorithm,run_id,sudoku_id,exec_time,branch_count
random,0,0,0.7207489013671875,31
random,1,0,1.899972677230835,183
random,2,0,1.7756896018981934,196
random,3,0,1.223356008529663,69
random,4,0,1.771294355392456,172
random,5,0,0.7111313343048096,10
random,6,0,3.5492312908172607,461
random,7,0,3.0692665576934814,308
random,8,0,1.5892982482910156,130
random,9,0,3.4526174068450928,434
random,10,0,0.6312732696533203,3
random,11,0,0.6496710777282715,3
random,12,0,0.8151841163635254,18
random,13,0,3.16581654548645,432
random,14,0,1.0731265544891357,69
random,0,1,6.3861305713653564,746
random,1,1,3.698845148086548,445
random,2,1,4.27816104888916,513
random,3,1,2.4222633838653564,220
random,4,1,1.5343122482299805,101
random,5,1,9.884511947631836,1133
random,6,1,3.0348832607269287,317
random,7,1,4.968276500701904,620
random,8,1,1.7625906467437744,124
random,9,1,5.685537815093994,634
random,10,1,3.6913349628448486,385
random,11,1,3.9193453788757324,426
random,12,1,4.795053243637085,537
random,13,1,4.42026162147522,530
random,14,1,2.483506202697754,227
random,0,2,1.345438003540039,149
random,1,2,0.7475473880767822,13
random,2,2,0.6929161548614502,7
random,3,2,0.9980530738830566,129
random,4,2,0.7863061428070068,15
random,5,2,2.9070494174957275,375
random,6,2,1.481654405593872,243
random,7,2,0.7299442291259766,18
random,8,2,0.6601641178131104,3
random,9,2,0.6293196678161621,13
random,10,2,0.767326831817627,24
random,11,2,0.6462841033935547,6
random,12,2,0.623741626739502,6
random,13,2,2.138214111328125,244
random,14,2,2.084874391555786,259
random,0,3,1.307936429977417,105
random,1,3,0.6285178661346436,3
random,2,3,0.6282639503479004,4
random,3,3,1.8399391174316406,162
random,4,3,1.9736442565917969,244
random,5,3,2.835559606552124,354
random,6,3,0.6689090728759766,4
random,7,3,1.4263076782226562,107
random,8,3,0.7236037254333496,16
random,9,3,0.9090244770050049,9
random,10,3,1.0026750564575195,50
random,11,3,3.091848134994507,378
random,12,3,2.204559564590454,241
random,13,3,1.4793407917022705,116
random,14,3,1.0989422798156738,59
random,0,4,0.6138288974761963,1
random,1,4,1.4781913757324219,120
random,2,4,1.3932783603668213,106
random,3,4,2.5938708782196045,265
random,4,4,0.6078121662139893,1
random,5,4,1.1077384948730469,57
random,6,4,1.1745805740356445,75
random,7,4,1.1354544162750244,81
random,8,4,1.5756206512451172,134
random,9,4,0.6885519027709961,18
random,10,4,0.6353471279144287,2
random,11,4,1.3478972911834717,89
random,12,4,1.8119995594024658,165
random,13,4,1.0116205215454102,59
random,14,4,0.7529442310333252,13
random,0,5,0.9142751693725586,32
random,1,5,1.9769887924194336,249
random,2,5,1.637857437133789,150
random,3,5,0.6510252952575684,2
random,4,5,0.6394741535186768,2
random,5,5,1.3040642738342285,102
random,6,5,0.9443709850311279,39
random,7,5,1.1011466979980469,99
random,8,5,1.5907931327819824,240
random,9,5,1.8010547161102295,240
random,10,5,1.2342512607574463,116
random,11,5,1.4731478691101074,148
random,12,5,0.7056293487548828,29
random,13,5,2.108208179473877,239
random,14,5,0.8289475440979004,26
random,0,6,0.642784595489502,2
random,1,6,5.681151628494263,815
random,2,6,1.2902421951293945,83
random,3,6,2.2707669734954834,213
random,4,6,3.5162060260772705,417
random,5,6,1.577716588973999,102
random,6,6,7.624112606048584,968
random,7,6,1.5237014293670654,133
random,8,6,2.262110710144043,230
random,9,6,2.021754026412964,159
random,10,6,0.8022007942199707,24
random,11,6,4.8387610912323,548
random,12,6,1.4850850105285645,97
random,13,6,0.6800563335418701,7
random,14,6,0.7453935146331787,6
random,0,7,1.0421805381774902,117
random,1,7,0.9759204387664795,112
random,2,7,1.135514497756958,100
random,3,7,0.6458384990692139,2
random,4,7,0.6033115386962891,1
random,5,7,1.3224506378173828,121
random,6,7,0.6529490947723389,3
random,7,7,0.8310143947601318,30
random,8,7,1.092005968093872,147
random,9,7,0.9347257614135742,81
random,10,7,0.937286376953125,86
random,11,7,1.1217515468597412,96
random,12,7,1.8350777626037598,316
random,13,7,0.9668478965759277,44
random,14,7,1.5541026592254639,205
random,0,8,3.2633614540100098,382
random,1,8,2.196763753890991,226
random,2,8,0.7602946758270264,46
random,3,8,2.119544506072998,219
random,4,8,1.9034740924835205,168
