algorithm,run_id,sudoku_id,exec_time,branch_count
random,0,0,0.6141862869262695,8
random,1,0,0.9602525234222412,66
random,2,0,0.9451441764831543,66
random,3,0,0.6269609928131104,3
random,4,0,0.8047142028808594,20
random,5,0,0.934990406036377,70
random,6,0,0.5976665019989014,1
random,7,0,0.6280994415283203,2
random,8,0,0.8332078456878662,34
random,9,0,0.5954728126525879,1
random,10,0,0.6547293663024902,5
random,11,0,0.6775591373443604,9
random,12,0,0.6038839817047119,2
random,13,0,0.6260550022125244,4
random,14,0,0.7325642108917236,14
random,0,1,0.5490055084228516,1
random,1,1,0.5485596656799316,1
random,2,1,0.549630880355835,1
random,3,1,0.5464920997619629,1
random,4,1,0.5477712154388428,1
random,5,1,0.5478613376617432,1
random,6,1,0.5481781959533691,1
random,7,1,0.5482566356658936,1
random,8,1,0.5471875667572021,1
random,9,1,0.5486693382263184,1
random,10,1,0.5491607189178467,1
random,11,1,0.5504703521728516,1
random,12,1,0.5489699840545654,1
random,13,1,0.5531966686248779,1
random,14,1,0.5506744384765625,1
random,0,2,0.5602672100067139,1
random,1,2,0.5569512844085693,1
random,2,2,0.5667111873626709,1
random,3,2,0.5780067443847656,1
random,4,2,0.5843954086303711,1
random,5,2,0.5616405010223389,1
random,6,2,0.5583422183990479,1
random,7,2,0.555896520614624,1
random,8,2,0.5574636459350586,1
random,9,2,0.5567939281463623,1
random,10,2,0.5563151836395264,1
random,11,2,0.560723066329956,1
random,12,2,0.5579276084899902,1
random,13,2,0.5538516044616699,1
random,14,2,0.5544264316558838,1
random,0,3,0.5497426986694336,1
random,1,3,0.5501754283905029,1
random,2,3,0.5478944778442383,1
random,3,3,0.5499417781829834,1
random,4,3,0.5483958721160889,1
random,5,3,0.5455429553985596,1
random,6,3,0.5456445217132568,1
random,7,3,0.5466864109039307,1
random,8,3,0.5489747524261475,1
random,9,3,0.5467092990875244,1
random,10,3,0.5509562492370605,1
random,11,3,0.5506405830383301,1
random,12,3,0.548567533493042,1
random,13,3,0.5500175952911377,1
