algorithm,run_id,sudoku_id,exec_time,branch_count
random,0,0,2.8696789741516113,283
random,1,0,25.821289777755737,3017
random,2,0,2.3128209114074707,177
random,3,0,4.482515573501587,404
random,4,0,3.081266164779663,242
random,5,0,7.906786918640137,1021
random,6,0,6.159379959106445,718
random,7,0,4.6346306800842285,551
random,8,0,18.81887173652649,1941
random,9,0,1.7094852924346924,139
random,10,0,11.293066024780273,1203
random,11,0,2.073556661605835,147
random,12,0,1.9457240104675293,161
random,13,0,11.386122226715088,1152
random,14,0,23.73542547225952,2498
random,0,1,0.7394263744354248,3
random,1,1,7.216135501861572,620
random,2,1,15.241698980331421,2000
random,3,1,19.136011362075806,1961
random,4,1,37.95858550071716,4165
random,5,1,21.039560317993164,2033
random,6,1,9.448188304901123,1070
random,7,1,10.735456943511963,1180
random,8,1,9.125961303710938,864
random,9,1,15.503437757492065,1547
random,10,1,19.185463190078735,2010
random,11,1,12.152341365814209,1188
random,12,1,23.293981313705444,2515
random,13,1,0.7212293148040771,3
random,14,1,7.065242528915405,743
random,0,2,13.200506925582886,1390
random,1,2,9.654814958572388,956
random,2,2,11.190503597259521,1168
random,3,2,7.552400588989258,607
random,4,2,2.6231346130371094,284
random,5,2,24.905497789382935,2588
random,6,2,8.246870517730713,849
random,7,2,9.714505910873413,841
random,8,2,6.471779823303223,729
random,9,2,0.725884199142456,4
random,10,2,11.988465070724487,1146
random,11,2,7.6095335483551025,719
random,12,2,1.7552261352539062,110
random,13,2,5.207656383514404,573
random,14,2,6.842326641082764,625
random,0,3,7.218119382858276,717
random,1,3,22.168281078338623,2162
random,2,3,23.74490451812744,2188
random,3,3,68.76364779472351,6557
random,4,3,7.869525909423828,682
random,5,3,3.9407548904418945,243
random,6,3,33.95464324951172,3173
random,7,3,18.55334496498108,1752
random,8,3,38.87647104263306,3742
random,9,3,44.384148359298706,4109
random,10,3,4.225334882736206,421
random,11,3,0.7406258583068848,4
random,12,3,10.058810472488403,937
random,13,3,1.9355618953704834,105
random,14,3,14.5428307056427,1256
random,0,4,32.094594955444336,2671
random,1,4,5.4077653884887695,374
random,2,4,2.618842124938965,226
random,3,4,6.881687879562378,498
random,4,4,0.6455907821655273,1
random,5,4,0.8433346748352051,30
random,6,4,18.42119312286377,1571
random,7,4,7.865167140960693,718
random,8,4,7.337840795516968,675
random,9,4,36.54488134384155,3343
random,10,4,19.82144546508789,1739
random,11,4,27.390795707702637,2430
random,12,4,6.964656591415405,572
random,13,4,10.021664142608643,927
random,14,4,6.783269882202148,508
random,0,5,3.892852544784546,342
random,1,5,0.9225025177001953,22
random,2,5,5.755245685577393,555
random,3,5,13.246161937713623,1568
random,4,5,13.349774360656738,1394
random,5,5,12.950040102005005,1422
random,6,5,0.6593432426452637,2
random,7,5,1.677781343460083,111
